state_name,moderate_under_15k_2001,moderate_under_15k_2019,moderate_under_15k_2024,moderate_15k_29k_2001,moderate_15k_29k_2019,moderate_15k_29k_2024,moderate_30k_44k_2001,moderate_30k_44k_2019,moderate_30k_44k_2024,moderate_45k_74k_2001,moderate_45k_74k_2019,moderate_45k_74k_2024,moderate_75k_plus_2001,moderate_75k_plus_2019,moderate_75k_plus_2024,moderate_all_renters_2001,moderate_all_renters_2019,moderate_all_renters_2024,severe_under_15k_2001,severe_under_15k_2019,severe_under_15k_2024,severe_15k_29k_2001,severe_15k_29k_2019,severe_15k_29k_2024,severe_30k_44k_2001,severe_30k_44k_2019,severe_30k_44k_2024,severe_45k_74k_2001,severe_45k_74k_2019,severe_45k_74k_2024,severe_75k_plus_2001,severe_75k_plus_2019,severe_75k_plus_2024,severe_all_renters_2001,severe_all_renters_2019,severe_all_renters_2024
United States,9.7,9.6,8.2,30.6,28.8,24.0,44.6,44.5,40.3,21.5,32.3,39.0,4.8,9.1,12.4,20.1,22.4,23.2,72.7,74.0,77.2,44.6,51.7,56.6,12.8,24.0,31.9,2.9,6.9,9.7,0.4,0.7,1.6,20.5,23.9,26.2
Alabama,15.9,12.6,9.1,37.1,32.0,32.0,32.2,46.2,46.7,7.7,12.1,21.8,0.0,2.3,3.0,18.6,19.7,20.1,58.8,67.7,66.5,31.1,39.0,40.0,3.6,4.1,13.4,0.5,1.1,2.6,0.0,0.0,0.6,20.8,23.2,23.9
Alaska,5.1,0.0,3.5,28.5,32.5,12.2,42.4,38.6,46.1,27.1,31.2,45.3,2.9,7.5,6.0,17.3,21.0,23.2,74.6,65.8,66.3,49.5,45.0,63.6,16.7,35.7,20.2,1.3,6.7,2.5,0.0,2.1,0.2,12.2,19.1,15.8
Arizona,4.5,8.3,3.8,30.6,27.6,19.0,51.5,49.9,38.6,21.7,32.4,48.1,3.4,4.7,12.9,21.6,22.2,24.5,78.7,77.5,79.6,51.7,55.2,67.0,13.7,22.0,40.6,3.3,3.9,9.2,0.8,0.5,1.6,23.7,21.9,25.2
Arkansas,15.7,14.3,10.7,34.3,41.3,37.1,36.5,37.1,47.1,11.8,9.1,14.6,0.3,2.1,1.7,19.1,20.3,21.9,58.6,65.2,65.4,29.5,34.1,37.3,2.7,4.8,8.7,0.0,0.6,1.6,0.0,0.1,0.4,18.0,20.3,20.8
California,5.9,8.1,7.8,24.8,17.9,13.7,48.8,33.4,27.5,34.7,46.8,49.0,10.3,17.7,20.9,23.4,24.2,24.8,86.5,78.2,79.9,59.5,70.2,72.5,24.3,51.3,59.2,6.8,20.5,24.5,0.6,1.6,2.7,22.8,27.3,29.0
Colorado,3.7,9.7,7.2,24.7,21.8,13.1,56.3,44.4,37.4,31.8,48.7,53.4,6.7,10.2,14.6,23.4,24.5,25.2,74.0,77.6,80.2,53.6,60.5,70.0,15.6,37.8,43.0,4.3,9.5,12.8,0.2,0.9,1.3,19.8,23.3,25.6
Connecticut,10.9,9.5,9.7,20.7,17.8,21.3,54.9,47.6,37.6,25.0,39.1,47.2,5.6,7.9,13.3,19.6,21.2,24.1,69.4,72.3,74.3,48.9,54.7,55.2,12.6,32.0,39.6,4.2,6.5,9.1,0.2,0.5,2.5,18.6,25.9,28.3
Delaware,7.1,9.0,7.3,20.8,26.0,17.1,48.5,45.3,42.0,22.3,42.5,50.4,1.6,3.7,11.8,16.8,22.8,25.5,68.3,84.0,76.7,47.0,55.1,58.0,5.6,36.5,40.1,2.1,1.4,1.1,0.4,0.0,2.5,16.6,25.7,24.1
District of Columbia,11.3,7.6,11.5,32.8,21.7,8.1,49.6,43.9,38.1,17.3,54.6,42.7,5.0,11.5,16.6,18.1,21.7,20.7,67.9,75.3,80.5,48.5,50.2,70.8,13.0,34.6,43.1,3.4,10.0,15.0,0.6,0.5,1.7,21.1,20.9,27.1
Florida,9.1,6.9,6.4,29.4,19.5,14.3,51.8,47.1,33.5,25.9,46.1,54.4,4.2,10.0,18.9,22.6,25.8,27.3,76.9,79.6,81.1,55.5,68.5,71.4,15.0,35.0,53.5,2.4,7.5,16.6,0.5,0.6,2.2,23.5,28.2,32.0
Georgia,14.0,8.3,6.4,31.8,29.2,21.2,49.4,48.1,38.6,23.6,33.9,46.0,4.0,4.7,10.4,22.1,22.9,23.7,63.8,75.0,78.2,40.4,51.3,58.3,12.6,20.2,33.8,2.2,3.3,7.6,0.1,0.2,1.1,17.4,23.3,26.5
Hawaii,9.8,4.4,5.2,15.9,24.8,17.9,45.0,33.0,25.2,30.0,38.3,40.1,8.6,21.6,23.1,20.0,24.5,24.8,71.6,73.0,71.5,61.6,59.6,61.3,17.2,46.4,51.7,6.1,32.5,25.8,0.6,3.7,2.8,20.0,27.7,25.9
Idaho,15.6,16.5,7.6,25.8,41.1,25.3,32.2,42.9,44.2,9.7,22.5,35.9,1.3,5.1,6.5,16.9,24.5,22.1,65.7,69.1,80.4,34.8,41.0,54.6,8.7,10.8,25.0,4.7,1.5,6.6,0.0,0.0,1.2,18.5,18.1,23.0
Illinois,9.6,10.5,8.2,27.2,29.8,25.3,45.5,47.8,45.1,23.0,27.5,33.4,3.6,6.2,8.9,18.8,21.4,21.5,74.1,72.7,77.8,46.3,51.1,55.5,13.7,17.6,24.7,1.8,4.9,5.8,0.3,0.5,0.8,21.8,23.2,26.1
Indiana,6.9,8.1,6.7,36.8,39.8,36.1,37.7,47.1,48.8,12.6,14.9,21.3,1.2,1.4,3.7,17.9,21.4,22.2,71.9,78.2,81.5,33.2,39.8,44.8,5.9,6.9,15.1,1.2,1.3,2.7,0.2,0.2,0.4,17.1,22.5,24.8
Iowa,10.3,6.9,9.3,31.0,40.9,35.0,39.1,40.5,42.3,7.3,11.4,13.4,2.2,2.1,2.0,17.3,18.9,18.9,68.8,79.3,76.0,36.8,32.9,42.9,5.0,6.9,8.8,0.7,2.1,3.5,1.4,0.0,1.1,19.1,21.4,22.6
Kansas,10.6,9.8,10.0,31.6,36.7,34.9,36.3,51.2,43.4,10.1,17.1,17.4,3.7,2.0,4.0,17.3,21.1,20.1,75.7,70.8,75.2,34.7,40.2,43.1,5.9,6.4,11.6,0.7,2.1,3.3,0.0,0.3,0.2,19.2,18.8,19.8
Kentucky,11.6,11.4,11.6,34.2,38.9,35.9,31.9,39.3,41.3,7.5,11.2,17.4,1.4,1.3,2.0,17.2,18.7,19.4,61.7,65.3,69.0,29.3,31.0,35.9,3.5,7.2,8.8,0.6,1.1,2.9,0.1,0.0,0.1,18.9,20.8,21.9
